,Mean Sum Rewards,Mean Std Sum Rewards,Ms,alpha_thetas,alpha_ws
0,22.14666666666667,11.133964053990635,5,1e-05,0.001
1,155.76333333333332,74.88760904775161,5,1e-05,0.01
2,10.933333333333334,7.585658984044974,5,1e-05,0.02
3,29.126666666666665,19.9423491316567,5,0.0001,0.001
4,10.703333333333333,4.920906646363272,5,0.0001,0.01
5,10.14,4.656937477212537,5,0.0001,0.02
6,13.84,9.850265647856068,5,0.001,0.001
7,9.896666666666667,3.0982772991167558,5,0.001,0.01
8,9.803333333333333,2.9013770676850825,5,0.001,0.02
9,55.513333333333335,55.64371622704181,15,1e-05,0.001
10,92.31,90.82121943686948,15,1e-05,0.01
11,99.96666666666667,93.088804673578,15,1e-05,0.02
12,95.26,71.8479347882271,15,0.0001,0.001
13,10.576666666666666,6.054540077954358,15,0.0001,0.01
14,9.676666666666666,2.8691675137959827,15,0.0001,0.02
15,131.79666666666665,72.45077861708748,15,0.001,0.001
16,182.23,48.28937529795418,15,0.001,0.01
17,66.18,85.63784755196346,15,0.001,0.02
18,13.663333333333334,8.953024938843607,30,1e-05,0.001
19,9.946666666666667,4.2532915358447845,30,1e-05,0.01
20,29.27,56.289700952601734,30,1e-05,0.02
21,13.93,11.218961627530419,30,0.0001,0.001
22,45.196666666666665,70.25238778069318,30,0.0001,0.01
23,9.4,1.6227548592850785,30,0.0001,0.02
24,156.54,65.18406042379789,30,0.001,0.001
25,28.316666666666666,53.35875175534834,30,0.001,0.01
26,9.806666666666667,4.137143405244197,30,0.001,0.02
